"","dat.all.sorted"
"240","Glechoma hederacea"
"241","Gleditsia triacanthos"
"242","Glyceria striata"
"243","Grass species"
"244","Gymnocladus dioica"
"245","Gymnocladus dioicus"
"246","Hackelia virginiana"
"247","Hedeoma hispida"
"248","Helenium autumnale"
"249","Helianthus decapetalus"
"250","Helianthus divaricatus"
"251","Helianthus grosseserratus"
"252","Helianthus hirsutus"
"253","Helianthus sp."
"254","Helianthus species"
"255","Helianthus strumosus"
"256","Hepatica acutiloba"
"257","Hesperis matronalis"
"258","Hickory species"
"259","Hordeum jubatum"
"260","Hydrastis canadensis"
"261","Hydrophyllum appendiculatum"
"262","Hydrophyllum sp."
"263","Hydrophyllum virginianum"
"264","Hypericum perforatum"
"265","Hystrix patula"
"266","Impatiens capensis"
"267","Impatiens pallida"
"268","Impatiens sp."
"269","Impatiens species"
"270","Isopyrum biternatum"
"271","Juglans cinerea"
"272","Juglans nigra"
"273","Juncus dudleyi"
"274","Juncus sp."
"275","Juncus tenuis"
"276","Juniperus virginiana"
"277","Lactuca biennis"
"278","Lactuca canadensis"
"279","Lactuca floridana"
"280","Lactuca serriola"
"281","Lactuca sp."
"282","Lactuca species"
"283","Lamium purpureum"
"284","Laportea canadensis"
"285","Leersia oryzoides"
"286","Leersia virginica"
"287","Leitneria floridana"
"288","Lespedeza violacea"
"289","Ligustrum sp."
"290","Ligustrum species"
"291","Ligustrum vulgare"
"292","Linaria vulgaris"
"293","Liriodendron tulipifera"
"294","Lobelia inflata"
"295","Lonicera maackii"
"296","Lonicera morrowii"
"297","Lonicera prolifera"
"298","Lonicera reticulata"
"299","Lonicera sp."
"300","Lonicera species"
"301","Lonicera tatarica"
"302","Lychnis alba"
"303","Lycopus americanus"
"304","Lycopus uniflorus"
"305","Lysimachia ciliata"
"306","Maclura pomifera"
"307","Magnolia acuminata"
"308","Maianthemum racemosum"
"309","Maianthemum stellatum"
"310","Maiathemum sp."
"311","Malus pumila"
"312","Malus sieboldii"
"313","Malus sp."
"314","Malus species"
"315","Medicago sativa"
"316","Melilotus alba"
"317","Melilotus officinalis"
"318","Melilotus sp."
"319","Menispermum canadense"
"320","Mertensia virginica"
"321","Mint species"
"322","Monarda fistulosa"
"323","Morus alba"
"324","Morus rubra"
"325","No herbaceous"
"326","No Herbaceous"
"327","No shrubs/seedlings"
"328","No trees"
"329","NONE"
"330","Onoclea sensibilis"
"331","Osmorhiza claytonii"
"332","Osmorhiza longistylis"
"333","Osmorhiza sp."
"334","Osmunda claytoniana"
"335","Ostrya virginiana"
"336","Oxalis europaea"
"337","Oxalis sp."
"338","Oxalis stricta"
"339","Packera sp."
"340","Panicum capillare"
"341","Panicum dichotomiflorum"
"342","Panicum implicatum"
"343","Panicum sp."
"344","Panicum species"
"345","Panicum spretum"
"346","Parthenocissus quinquefolia"
"347","Parthenocissus sp."
"348","Pastinaca sativa"
"349","Penstemon digitalis"
"350","Penthorum sedoides"
"351","Persicaria coccinea"
"352","Persicaria punctata"
"353","Phalaris arundinacea"
"354","Phellodendron amurense"
"355","Phleum pratense"
"356","Phlox divaricata"
"357","Phragmites australis"
"358","Phryma leptostachya"
"359","Physalis species"
"360","Physalis virginiana"
"361","Phytolacca americana"
"362","Picea abies"
"363","Picea sp."
"364","Picea species"
"365","Pilea pumila"
"366","Pinus banksiana"
