"","seqOrSplice","spliceRule","spliceTaxa"
"Malus_NA","** SPLICE **","genus",""
"2018_NA","** SPLICE **","???",""
"Melilotus_officinalis","seq","",""
"Melilotus_NA","** SPLICE **","genus",""
"Menispermum_canadense","seq","",""
"Monarda_fistulosa","seq","",""
"Morus_alba","seq","",""
"Onoclea_sensibilis","seq","",""
"Osmorhiza_aristata","seq","",""
"Ostrya_virginiana","seq","",""
"Oxalis_NA","** SPLICE **","genus",""
"Oxalis_stricta","seq","",""
"Packera_NA","** SPLICE **","genus",""
"Panicum_NA","** SPLICE **","genus",""
"Parthenocissus_quinquefolia","seq","",""
"Pastinaca_sativa","seq","",""
"Penstemon_digitalis","seq","",""
"Penthorum_sedoides","seq","",""
"Persicaria_punctata","seq","",""
"Phalaris_arundinacea","seq","",""
"Phragmites_australis","seq","",""
"Phellodendron_amurense","seq","",""
"Phlox_divaricata","seq","",""
"Phleum_pratense","seq","",""
"Phryma_leptostachya","seq","",""
"Phytolacca_americana","seq","",""
"Pilea_pumila","seq","",""
"Plantago_lanceolata","seq","",""
"Plantago_rugelii","seq","",""
"Poa_compressa","seq","",""
"Poa_palustris","seq","",""
"Poa_pratensis","seq","",""
"Podophyllum_peltatum","seq","",""
"Polystichum_acrostichoides","seq","",""
"Polygonatum_biflorum","** SPLICE **","genus",""
"Fallopia_convolvulus","seq","",""
"Polygonum_virginianum","** SPLICE **","genus",""
"Persicaria_hydropiper","seq","",""
"Persicaria_bungeana","seq","",""
"Polemonium_reptans","seq","",""
"Fallopia_scandens","seq","",""
"Polygonum_NA","** SPLICE **","genus",""
"Potentilla_recta","seq","",""
"Potentilla_simplex","** SPLICE **","genus",""
"Nabalus_albus","** SPLICE **","genus",""
"Prunus_americana","seq","",""
"Prunus_serotina","seq","",""
"Prunus_virginiana","seq","",""
"Prunella_vulgaris","seq","",""
"Quercus_alba","seq","",""
"Quercus_macrocarpa","seq","",""
"Quercus_rubra","seq","",""
"Ranunculus_abortivus","seq","",""
"Ranunculus_hispidus","seq","",""
"Ranunculus_recurvatus","seq","",""
"Rhamnus_cathartica","seq","",""
"Frangula_alnus","seq","",""
"Rhus_glabra","seq","",""
"Ribes_americanum","seq","",""
"Ribes_cynosbati","** SPLICE **","genus",""
"Ribes_missouriense","seq","",""
"Robinia_pseudoacacia","seq","",""
"Rosa_NA","** SPLICE **","genus",""
"Rosa_carolina","seq","",""
"Rosa_multiflora","seq","",""
"Rubus_allegheniensis","seq","",""
"Rubus_idaeus","seq","",""
"Rubus_occidentalis","seq","",""
"Rubus_NA","** SPLICE **","genus",""
"Rudbeckia_hirta","seq","",""
"Rumex_crispus","seq","",""
"Sagittaria_latifolia","seq","",""
"Sambucus_canadensis","seq","",""
"Sanicula_canadensis","seq","",""
"Sanicula_NA","** SPLICE **","genus",""
"Sanicula_odorata","seq","",""
"Festuca_pratensis","seq","",""
"Schizachyrium_scoparium","seq","",""
"Bolboschoenus_fluviatilis","seq","",""
"Scrophularia_marilandica","seq","",""
"Scutellaria_galericulata","seq","",""
"Scutellaria_lateriflora","** SPLICE **","genus",""
"Securigera_varia","seq","",""
"Setaria_faberi","seq","",""
"Setaria_NA","** SPLICE **","genus",""
"Silphium_integrifolium","** SPLICE **","genus",""
"Silphium_laciniatum","** SPLICE **","genus",""
"Sium_suave","seq","",""
"Smilax_ecirrhata","** SPLICE **","genus",""
"Smilax_tamnoides","** SPLICE **","genus",""
"Smilax_illinoensis","** SPLICE **","genus",""
"Smilax_lasioneura","seq","",""
"Smilax_NA","** SPLICE **","genus",""
"Solanum_americanum","seq","",""
"Solidago_canadensis","seq","",""
"Solanum_carolinense","seq","",""
"Solanum_dulcamara","seq","",""
"Solidago_flexicaulis","seq","",""
"Solidago_gigantea","seq","",""
"Solidago_NA","** SPLICE **","genus",""
"Solidago_nemoralis","seq","",""
"Solidago_rigida","seq","",""
"Solidago_ulmifolia","seq","",""
"Sonchus_arvensis","seq","",""
"Sorghastrum_nutans","seq","",""
"Sparganium_eurycarpum","seq","",""
"Spartina_pectinata","seq","",""
"Stachys_NA","** SPLICE **","genus",""
"Stachys_palustris","seq","",""
"Stachys_tenuifolia","** SPLICE **","genus",""
"Staphylea_trifolia","seq","",""
"Stylophorum_diphyllum","seq","",""
"Symphyotrichum_drummondii","seq","",""
"Symphyotrichum_lanceolatum","seq","",""
"Symphyotrichum_lateriflorum","** SPLICE **","genus",""
"Symphyotrichum_novae-angliae","** SPLICE **","genus",""
"Symphyotrichum_ontarionis","** SPLICE **","genus",""
"Symphyotrichum_NA","** SPLICE **","genus",""
"Symphyotrichum_pilosum","seq","",""
"Symphyotrichum_shortii","seq","",""
"Taraxacum_campylodes","** SPLICE **","genus",""
"Tilia_americana","seq","",""
"Torilis_japonica","seq","",""
"Toxicodendron_radicans","seq","",""
"Triosteum_perfoliatum","seq","",""
"Trillium_recurvatum","seq","",""
"Trifolium_repens","seq","",""
"Typha_latifolia","seq","",""
"Ulmus_americana","seq","",""
"Ulmus_pumila","seq","",""
"Ulmus_rubra","seq","",""
"Urtica_dioica","seq","",""
"Uvularia_grandiflora","seq","",""
"Verbesina_alternifolia","** SPLICE **","genus",""
"Verbena_urticifolia","seq","",""
"Viburnum_dentatum","seq","",""
"Viburnum_lentago","seq","",""
"Viburnum_opulus","seq","",""
"Viburnum_prunifolium","seq","",""
"Viburnum_NA","** SPLICE **","genus",""
"Vicia_NA","** SPLICE **","genus",""
"Viola_NA","** SPLICE **","genus",""
"Viola_sororia","** SPLICE **","genus",""
"Viola_pubescens","seq","",""
"Vitis_vulpina","seq","",""
"Acer_NA","** SPLICE **","genus",""
"Allium_cernuum","seq","",""
"Allium_NA","** SPLICE **","genus",""
"Allium_tricoccum","** SPLICE **","genus",""
"Antennaria_plantaginifolia","** SPLICE **","genus",""
"Barbarea_vulgaris","seq","",""
"Brassica_NA","** SPLICE **","genus",""
"Bromus_NA","** SPLICE **","genus",""
"Bromus_tectorum","seq","",""
"Arnoglossum_atriplicifolium","seq","",""
"Camassia_scilloides","** SPLICE **","genus",""
"Cardamine_concatenata","seq","",""
"Cardamine_douglassii","seq","",""
"Carya_NA","** SPLICE **","genus",""
"Cerastium_NA","** SPLICE **","genus",""
"Cerastium_glomeratum","seq","",""
"Chenopodium_NA","** SPLICE **","genus",""
"Cinna_arundinacea","seq","",""
"Cirsium_NA","** SPLICE **","genus",""
"Claytonia_virginica","seq","",""
"Erigeron_canadensis","** SPLICE **","genus",""
"Convolvulus_NA","** SPLICE **","genus",""
"Carex_grisea","seq","",""
"Dicentra_cucullaria","** SPLICE **","genus",""
"Dipsacus_NA","** SPLICE **","genus",""
"Dodecatheon_meadia","** SPLICE **","genus",""
"Ellisia_nyctelea","seq","",""
