Plot ID Number,6-Letter Code,Species Name,Alive # of Stems,Dead # of Stems,Native / Alien,"Type
Shrub (S)
Understory Tree (UT)
Tree Sapling (TS)",,,
LL-128,MORALB,Morus alba,1,,Alien,TS,,,
LL-133,FRAAMA,Fraxinus americana,3,,Native,TS,,,
LL-135,FRAAMA,Fraxinus americana,4,,Native,TS,,,
LL-135,RHACAT,Rhamnus cathartica,1,,Alien,UT,,,
LL-141,PRUVIR,Prunus virginiana,8,,Native,S,,,
LL-141,RHACAT,Rhamnus cathartica,3,,Alien,UT,,,
LL-84,NONE,NONE,-,-,-,-,,,
LL-90,NONE,NONE,-,-,-,-,,,
LL-93,NONE,NONE,-,-,-,-,,,
M-118,PRUVIR,Prunus virginiana,2,,Native,S,,,
M-126,NONE,NONE,-,-,-,-,,,
M-134,ACENIG,Acer nigrum,3,,Native,TS,,,
M-134,UNIDENTIFIED SP,Unidentified species,,3,-,-,,,
M-137,ACENIG,Acer nigrum,1,,Native,TS,,,
M-137,FRAAMA,Fraxinus americana,1,,Native,TS,,,
M-137,UNIDENTIFIED SP,Unidentified species,,1,-,-,,,
MM-102,CERCAN,Cercis canadensis,1,,Native,S,,,
MM-102,RHACAT,Rhamnus cathartica,26,1,Alien,UT,,,
MM-102,ROSMUL,Rosa multiflora,1,,Alien,S,,,
MM-102,RUBALL,Rubus allegheniensis,1,,Native,S,,,
MM-102,UNIDENTIFIED SP,Unidentified species,,1,-,-,,,
MM-102,VITRIP,Vitis riparia,1,,Native,S,,,
MM-108,RHACAT,Rhamnus cathartica,1,,Alien,UT,,,
LL-110,NONE,NONE,-,-,-,-,,,
MM-114,FRAAMA,Fraxinus americana ,1,,Native,TS,,,
MM-114,LONMAA,Lonicera maackii ,1,,Alien,S,,,
MM-114,ULMAME,Ulmus americana ,1,,Native,TS,,,
MM-94,NONE,NONE,-,-,-,-,,,
MM-97,NONE,NONE,-,-,-,-,,,
N-110,ACENIG,Acer nigrum,1,,Native,TS,,,
N-113,ACENIG,Acer nigrum,1,,Native,TS,,,
N-113,ULMAME,Ulmus americana,1,,Native,TS,,,
N-115,NONE,NONE,-,-,-,-,,,
N-116,ACENIG,Acer nigrum,1,,Native,TS,,,
N-116,ULMAME,Ulmus americana,,,Native,TS,,,
N-116,UNIDENTIFIED SP,Unidentified species,1,1,-,-,,,
N-123,NONE,NONE,-,-,-,-,,,
N-128,NONE,NONE,-,-,-,-,,,
N-142,CORRAC,Cornus racemosa,1,,Native,S,,,
N-142,RHACAT,Rhamnus cathartica,33,,Alien,UT,,,
N-144,RHACAT,Rhamnus cathartica,5,,Alien,UT,,,
NN-100,CRATAEGUS SP,Crataegus species,1,,-,UT,,,
NN-100,LONMAA,Lonicera maackii,1,,Alien,S,,,
NN-105,VITRIP,Vitis riparia ,2,,Native,S,,,
NN-114,RHACAT,Rhamnus cathartica ,5,,Alien,UT,,,
OO-116,NONE,NONE,-,-,-,-,,,
NN-118,LONMAA,Lonicera maackii,1,,Alien,S,,,
NN-118,UNIDENTIFIED SP,Unidentified species,,2,-,-,,,
NN-126,CRATAEGUS SP,Crataegus species,1,,-,UT,,,
NN-126,RHACAT,Rhamnus cathartica,6,,Alien,UT,,,
NN-126,RHUGLA,Rhus glabra,8,,Native,S,,,
NN-126,ULMAME,Ulmus americana,2,1,Native,TS,,,
NN-136,CELOCC,Celtis occidentalis,1,,Native,TS,,,
NN-136,LONMAA,Lonicera maackii,2,,Alien,S,,,
NN-136,RHACAT,Rhamnus cathartica,2,,Alien,UT,,,
NN-136,TILAME,Tilia americana,4,,Native,TS,,,
NN-136,UNIDENTIFIED SP,Unidentified species,,1,-,-,,,
NN-140 ,NONE,NONE,-,-,-,-,,,
NN-145,FRAAMA,Fraxinus americana,2,,Native,TS,,,
NN-145,RIBMIS,Ribes missouriense,16,,Native,S,,,
NN-145,TILAME,Tilia americana,1,,Native,TS,,,
NN-145,ULMRUB,Ulmus rubra,1,,Native,TS,,,
NN-146,LONMAA,Lonicera maackii,14,,Alien,S,,,
NN-146,RHACAT,Rhamnus cathartica,1,3,Alien,UT,,,
NN-89,NONE,NONE,-,-,-,-,,,
NN-91,NONE,NONE,-,-,-,-,,,
NN-97,LONMAA,Lonicera maackii,4,,Alien,S,,,
O-105,ACENIG,Acer nigrum,1,,Native,TS,,,
O-108,ACENIG,Acer nigrum,2,,Native,TS,,,
O-108,PRUVIR,Prunus virginiana,5,,Native,S,,,
O-109,ACENIG,Acer nigrum,1,1,Native,TS,,,
O-121,NONE,NONE,-,-,-,-,,,
O-131,NONE,NONE,-,-,-,-,,,
O-135,ACENIG,Acer nigrum,1,,Native,TS,,,
O-135,UNIDENTIFIED SP,Unidentified species,,1,-,-,,,
O-136,LONTAT,Lonicera tatarica,1,,Alien,S,,,
OO-100,LONMAA,Lonicera maackii,2,,Alien,S,,,
OO-100,TILAME,Tilia americana,1,,Native,TS,,,
OO-101,CELSCA,Celastrus scandens,2,,Native,S,,,
OO-101,LONMAA,Lonicera maackii,2,,Alien,S,,,
OO-101,LONMAA,Lonicera maackii,,1,Alien,S,,,
OO-103,PRUAME,Prunus americana ,1,,Native,UT,,,
OO-110,CELSCA,Celastrus scandens ,1,,Native,S,,,
NN-110,CELSCA,Celastrus scandens ,1,,Native,S,,,
NN-110,LONMAA,Lonicera maackii ,1,,Alien,S,,,
NN-110,RUBOCC,Rubus occidentalis ,1,,Native,S,,,
NN-110,VIBURNUM SP ,Viburnum species,1,,-,S,,,
OO-122,NONE,NONE,-,-,-,-,,,
OO-129,LONMAA,Lonicera maackii,3,,Alien,S,,,
OO-130,LONMAA,Lonicera maackii,7,3,Alien,S,,,
OO-146,LONMAA,Lonicera maackii,2,,Alien,S,,,
OO-146,RIBMIS,Ribes missouriense,1,,Native,S,,,
OO-95,LONMAA,Lonicera maackii,1,,Alien,S,,,
P-107,ACENIG,Acer nigrum,6,,Native,TS,,,
O-112,ACENIG,Acer nigrum,2,1,Native,TS,,,
P-124,ACENIG,Acer nigrum,2,,Native,TS,,,
P-126,NONE,NONE,-,-,-,-,,,
P-138,NONE,NONE,-,-,-,-,,,
P-95,UNIDENTIFIED SP,Unidentified species,7,1,-,S,,,
PP-101,NONE,NONE,-,-,-,-,,,
PP-102,PRUAME,Prunus americana,7,,Native,UT,,,
PP-107,NONE,NONE,-,-,-,-,,,
PP-117,FRAPES,Fraxinus pennsylvanica subintegerrima,5,,Native,TS,,,
PP-122,NONE,NONE,-,-,-,-,,,
PP-124,ACENEG,Acer negundo,1,,Native,TS,,,
PP-124,RHACAT,Rhamnus cathartica,1,4,Alien,UT,,,
PP-128,LONMAA,Lonicera maackii,17,2,Alien,S,,,
PP-132,LONMAA,Lonicera maackii,6,,Alien,S,,,
PP-134,NONE,NONE,-,-,-,-,,,
PP-135,CARCOR,Carya cordiformis,1,,Native,TS,,,
PP-135,LONMAA,Lonicera maackii,12,,Alien,S,,,
PP-137,VIBURNUM SP,Viburnum species,3,,-,S,,,
PP-137,VIBURNUM SP,Viburnum species,4,,-,S,,,
PP-143,PRUVIR,Prunus virginiana,7,,Native,S,,,
PP-143,TILAME,Tilia americana,6,1,Native,TS,,,
PP-143,UNIDENTIFIED SP,Unidentified species,,2,-,-,,,
PP-146,PRUSER,Prunus serotina,1,,Native,TS,,,
PP-92,ACENEG,Acer negundo,1,,Native,TS,,,
Q-110,ACENIG,Acer nigrum,1,,Native,TS,,,
Q-120,NONE,NONE,-,-,-,-,,,
Q-122,FRAAMA,Fraxinus americana,1,,Native,TS,,,
Q-127,ACENIG,Acer nigrum,1,,Native,TS,,,
Q-129,NONE,NONE,-,-,-,-,,,
Q-132,ACENIG,Acer nigrum,1,,Native,TS,,,
Q-135,ACENIG,Acer nigrum,1,,Native,TS,,,
Q-96,PRUVIR,Prunus virginiana,10,,Native,S,,,
Q-96,RHURAD,Rhus radicans,3,,Native,S,,,
Q-96,ULMAME,Ulmus americana,3,,Native,TS,,,
QQ-107,PRUAME,Prunus americana,2,,Native,UT,,,
QQ-111,LONMAA,Lonicera maackii ,10,5,Alien,S,,,
QQ-111,RHACAT,Rhamnus cathartica ,2,,Alien,UT,,,
QQ-121,NONE,NONE,-,-,-,-,,,
QQ-131,ACENIG,Acer nigrum,1,,Native,TS,,,
QQ-131,LONMAA,Lonicera maackii,5,,Alien,S,,,
QQ-132,CELOCC,Celtis occidentalis,1,,Native,TS,,,
QQ-132,LONMAA,Lonicera maackii,4,,Alien,S,,,
QQ-133,LONMAA,Lonicera maackii,14,3,Alien,S,,,
QQ-133,RHACAT,Rhamnus cathartica,4,1,Alien,UT,,,
QQ-139,FRAAMA,Fraxinus americana,3,,Native,TS,,,
QQ-139,LONTAT,Lonicera tatarica,1,,Alien,S,,,
QQ-139,RHACAT,Rhamnus cathartica,2,,Alien,UT,,,
QQ-139,TILAME,Tilia americana,1,1,Native,TS,,,
QQ-139,ULMAME,Ulmus americana,2,,Native,TS,,,
QQ-140,TILAME,Tilia americana,2,,Native,TS,,,
QQ-146,NONE,NONE,-,-,-,-,,,
PP-96,LONMAA,Lonicera maackii,3,,Alien,S,,,
PP-96,RHACAT,Rhamnus cathartica,1,,Alien,UT,,,
R-109,ACENIG,Acer nigrum,1,,Native,TS,,,
R-113,ACENIG,Acer nigrum,1,,Native,TS,,,
R-116,ACENIG,Acer nigrum,2,2,Native,TS,,,
R-128,ACENIG,Acer nigrum,2,,Native,TS,,,
R-75,NONE,NONE,-,-,-,-,,,
R-79,RHACAT,Rhamnus cathartica,45,,Alien,UT,,,
R-83,CERCAN,Cercis canadensis,3,3,Native,S,,,
R-86,NONE,NONE,-,-,-,-,,,
RR-107,NONE,NONE,-,-,-,-,,,
RR-113,CARCOR,Carya cordiformis,1,,Native,TS,,,
RR-113,FRAAMA,Fraxinus americana,1,,Native,TS,,,
RR-113,PRUSER,Prunus serotina,2,3,Native,TS,,,
RR-113,RHACAT,Rhamnus cathartica,,3,Alien,UT,,,
RR-116,NONE,NONE,-,-,-,-,,,
RR-126,LONMAA,Lonicera maackii,2,,Alien,S,,,
RR-126,RHACAT,Rhamnus cathartica,1,,Alien,UT,,,
RR-127,LONMAA,Lonicera maackii,11,2,Alien,S,,,
RR-127,TREE SP,Tree species,1,,-,-,,,
RR-128,LONMAA,Lonicera maackii,2,,Alien,S,,,
RR-128,RHACAT,Rhamnus cathartica,1,,Alien,UT,,,
RR-128,ROSMUL,Rosa multiflora,1,1,Alien,S,,,
RR-128,ULMAME,Ulmus americana,1,1,Native,TS,,,
RR-129,LONMAA,Lonicera maackii,23,,Alien,S,,,
RR-129,QUEMAC,Quercus macrocarpa,1,,Native,TS,,,
RR-129,RHACAT,Rhamnus cathartica,2,2,Alien,UT,,,
RR-129,ROBPSE,Robinia pseudocacia,,1,Alien,TS,,,
RR-129,UNIDENTIFIED SP,Unidentified species,,3,-,-,,,
RR-131,LONMAA,Lonicera maackii,4,,Alien,S,,,
RR-134,CARCOR,Carya cordiformis,1,,Native,TS,,,
RR-134,RHACAT,Rhamnus cathartica,1,,Alien,UT,,,
RR-134,TILAME,Tilia americana,,1,Native,TS,,,
RR-138,CRATAEGUS SP,Crataegus species,1,,-,UT,,,
RR-138,LONTAT,Lonicera tatarica,1,1,Alien,S,,,
RR-138,RHACAT,Rhamnus cathartica,4,1,Alien,UT,,,
RR-138,TILAME,Tilia americana,1,,Native,TS,,,
RR-139,FRAAMA,Fraxinus americana,1,,Native,TS,,,
RR-139,RHACAT,Rhamnus cathartica,,1,Alien,UT,,,
RR-139,ULMAME,Ulmus americana,1,,Native,TS,,,
RR-142,ACENIG,Acer nigrum,2,,Native,TS,,,
RR-142,ULMAME,Ulmus americana,1,,Native,TS,,,
RR-95,NONE,NONE,-,-,-,-,,,
S-105,ACENIG,Acer nigrum,1,2,Native,TS,,,
S-111,ACENIG,Acer nigrum,3,1,Native,TS,,,
S-126,NONE,NONE,-,-,-,-,,,
S-134,NONE,NONE,-,-,-,-,,,
U-70,LONMAA,Lonicera maackii,5,,Alien,S,,,
T-70,RHACAT,Rhamnus cathartica,2,,Alien,UT,,,
S-70,NONE,NONE,-,-,-,-,,,
S-72,LONMAA,Lonicera maackii,3,,Alien,S,,,
S-72,RHACAT,Rhamnus cathartica,1,,Alien,UT,,,
S-72,RHAFRA,Rhamnus frangula,7,,Alien,UT,,,
S-72,VIBOPU,Viburnum opulus,2,,Alien,S,,,
S-72,VIBURNUM SP,Viburnum species,4,,-,S,,,
S-75,LONMAA,Lonicera maackii,2,,Alien,S,,,
S-75,RUBOCC,Rubus occidentalis,1,,Native,S,,,
S-86,NONE,NONE,-,-,-,-,,,
S-97,ULMAME,Ulmus americana,1,,Native,TS,,,
S-97,VIBURNUM SP,Viburnum species,1,,-,S,,,
RR-99,NONE,NONE,-,-,-,-,,,
SS-104,PRUAME,Prunus americana,4,,Native,UT,,,
SS-105,NONE,NONE,-,-,-,-,,,
SS-109,PRUAME,Prunus americana ,1,,Native,UT,,,
SS-113,LONMAA,Lonicera maackii ,3,,Alien,S,,,
SS-130,LONMAA,Lonicera maackii,10,,Alien,S,,,
SS-130,ULMAME,Ulmus americana,1,,Native,TS,,,
SS-136,FRAAMA,Fraxinus americana,1,,Native,TS,,,
SS-136,LONMAA,Lonicera maackii,1,,Alien,S,,,
SS-136,TILAME,Tilia americana,1,,Native,TS,,,
SS-141,ACENEG,Acer negundo,2,,Native,TS,,,
SS-141,BERTHU,Berberis thunbergii ,6,,Alien,S,,,
SS-141,RHACAT,Rhamnus cathartica,1,,Alien,UT,,,
SS-142,FRAPES,Fraxinus pennsylvanica subintegerrima,3,1,Native,TS,,,
SS-142,TILAME,Tilia americana,1,,Native,TS,,,
T-114,ACENIG,Acer nigrum,1,,Native,TS,,,
T-122,ACENIG,Acer nigrum,1,,Native,TS,,,
T-127,ACENIG,Acer nigrum,,1,Native,TS,,,
T-127,ASIMINA SP,Asimina species,15,,-,UT,,,
T-132,ACENIG,Acer nigrum,2,,Native,TS,,,
T-147,RHAMNUS SP,Rhamnus species,15,,-,UT,,,
T-74,ULMAME,Ulmus americana,1,,Native,TS,,,
T-74,VIBURNUM SP,Viburnumspecies,14,,-,S,,,
T-75,NONE,NONE,-,-,-,-,,,
T-77,NONE,NONE,-,-,-,-,,,
T-84,RHACAT,Rhamnus cathartica,,1,Alien,UT,,,
T-88,CAROVT,Carya ovata,1,,Native,TS,,,
T-88,UNIDENTIFIED SP,Unidentified species,,1,-,-,,,
S-92,LONMAA,Lonicera maackii,2,1,Alien,S,,,
S-92,RHACAT,Rhamnus cathartica,1,,Alien,UT,,,
S-92,SAMCAN,Sambucus canadensis,2,,Native,S,,,
S-92,VIBREC,Viburnum recognitum,10,1,Alien,S,,,
SS-102,NONE,NONE,-,-,-,-,,,
SS-106,ROSMUL,Rosa multiflora ,2,,Alien,S,,,
TT-110,RHACAT,Rhamnus cathartica,4,,Alien,UT,,,
TT-110,ULMAME,Ulmus americana,1,,Native,TS,,,
TT-119,NONE,NONE,-,-,-,-,,,
TT-121,LONMAA,Lonicera maackii,3,,Alien,S,,,
TT-121,RHACAT,Rhamnus cathartica,1,,Alien,UT,,,
TT-121,ROSMUL,Rosa multiflora,1,,Alien,S,,,
TT-129,LONMAA,Lonicera maackii,10,4,Alien,S,,,
TT-130,LONMAA,Lonicera maackii,9,,Alien,S,,,
TT-131,LONMAA,Lonicera maackii,8,2,Alien,S,,,
TT-132,ACENIG,Acer nigrum,1,,Native,TS,,,
TT-132,LONMAA,Lonicera maackii,9,,Alien,S,,,
TT-133,RHACAT,Rhamnus cathartica,2,,Alien,UT,,,
TT-133,TILAME,Tilia americana,4,,Native,TS,,,
TT-137,FRAAMA,Fraxinus americana,1,,Native,TS,,,
TT-137,OSTVIR,Ostrya virginiana,1,1,Native,UT,,,
TT-137,ULMAME,Ulmus americana,1,,Native,TS,,,
TT-140,LONTAT,Lonicera tatarica,2,,Alien,S,,,
TT-140,ROSMUL,Rosa multiflora,4,,Alien,S,,,
TT-140,TILAME,Tilia americana,2,,Native,TS,,,
TT-143,NONE,NONE,-,-,-,-,,,
TT-145,CRATAEGUS SP,Crataegus species,1,,-,UT,,,
TT-145,LONTAT,Lonicera tatarica,2,,Alien,S,,,
U-107,ACENIG,Acer nigrum,,1,Native,TS,,,
U-110,NONE,NONE,-,-,-,-,,,
U-111,ACENIG,Acer nigrum,1,,Native,TS,,,
U-125,OSTVIR,Ostrya virginiana,,1,Native,UT,,,
U-130,ACENIG,Acer nigrum,3,,Native,TS,,,
U-134,NONE,NONE,-,-,-,-,,,
U-74,LONMAA,Lonicera maackii,4,,Alien,S,,,
U-74,RUBOCC,Rubus occidentalis,1,,Native,S,,,
V-95,NONE,NONE,-,-,-,-,,,
U-95,CAROVT,Carya ovata,1,,Native,TS,,,
U-95,CERCAN,Cercis canadensis,1,,Native,S,,,
U-95,LONMAA,Lonicera maackii,3,,Alien,S,,,
U-95,QUERUB,Quercus rubra,1,,Native,TS,,,
U-95,RUBOCC,Rubus occidentalis,1,,Native,S,,,
U-95,TILAME,Tilia americana,2,,Native,TS,,,
U-95,VIBLEN,Viburnum lentago,1,,Native,S,,,
U-96,NONE,NONE,-,-,-,-,,,
U-98,RHACAT,Rhamnus cathartica,30,,Alien,UT,,,
UU-100,PRUAME,Prunus americana,1,,Native,UT,,,
UU-100,PRUSER,Prunus serotina,2,,Native,TS,,,
UU-100,VITRIP,Vitis riparia,4,,Native,S,,,
UU-117,NONE,NONE,-,-,-,-,,,
UU-121,LONMAA,Lonicera maackii,9,2,Alien,S,,,
UU-121,PRUNUS SP,Prunus species,2,,-,-,,,
UU-121,RHACAT,Rhamnus cathartica,8,3,Alien,UT,,,
UU-125,LONMAA,Lonicera maackii,9,,Alien,S,,,
UU-125,RHACAT,Rhamnus cathartica,2,,Alien,UT,,,
UU-129,ACENIG,Acer nigrum,1,,Native,TS,,,
UU-129,LONMAA,Lonicera maackii,9,,Alien,S,,,
UU-130,LONMAA,Lonicera maackii,8,2,Alien,S,,,
UU-132,ACENIG,Acer nigrum,1,,Native,TS,,,
UU-132,LONMAA,Lonicera maackii,6,1,Alien,S,,,
UU-132,RHACAT,Rhamnus cathartica,6,,Alien,UT,,,
VV-109,NONE,NONE,-,-,-,-,,,
VV-122,LONMAA,Lonicera maackii,6,,Alien,S,,,
VV-122,RHACAT,Rhamnus cathartica,2,1,Alien,UT,,,
VV-133,LONMAA,Lonicera maackii,7,,Alien,S,,,
VV-133,RHACAT,Rhamnus cathartica,1,,Alien,UT,,,
VV-133,VIBOPU,Viburnum opulus,2,,Alien,S,,,
V-111,ACENIG,Acer nigrum,2,,Native,TS,,,
V-113,ACENIG,Acer nigrum,2,,Native,TS,,,
V-114,NONE,NONE,-,-,-,-,,,
V-134,ACENIG,Acer nigrum,1,,Native,TS,,,
V-134,FRAAMA,Fraxinus americana,1,,Native,TS,,,
V-136,VIBREC,Viburnum recognitum,7,,Alien,S,,,
V-73,NONE,NONE,-,-,-,-,,,
V-76,ULMUS SP,Ulmus species,1,,-,TS,,,
V-84,ULMRUB,Ulmus rubra,1,,Native,TS,,,
V-89,LONTAT,Lonicera tatarica,1,1,Alien,S,,,
V-89,ULMAME,Ulmus americana,,1,Native,TS,,,
V-89,UNIDENTIFIED SP,Unidentified species,,1,-,-,,,
WW-102,NONE,NONE,-,-,-,-,,,
WW-106,PRUAME,Prunus americana,2,,Native,UT,,,
WW-119,NONE,NONE,-,-,-,-,,,
WW-124,LONMAA,Lonicera maackii,10,,Alien,S,,,
WW-124,MORALB,Morus alba,1,,Alien,TS,,,
WW-124,RHACAT,Rhamnus cathartica,2,,Alien,UT,,,
WW-130,LONMAA,Lonicera maackii,3,5,Alien,S,,,
WW-130,RHACAT,Rhamnus cathartica,,1,Alien,UT,,,
WW-130,SAMCAN,Sambucus canadensis,1,,Native,S,,,
WW-137,OSTVIR,Ostrya virginiana,1,,Native,UT,,,
WW-140,RHAFRA,Rhamnus frangula,1,,Alien,UT,,,
WW-140,UNIDENTIFIED SP,Unidentified species,,1,,-,,,
WW-146,LONMAA,Lonicera maackii,2,,Alien,S,,,
WW-146,RUBOCC,Rubus occidentalis,3,,Native,S,,,
W-106,ACENIG,Acer nigrum,3,,Native,TS,,,
W-109,NONE,NONE,-,-,-,-,,,
W-112,ACENIG,Acer nigrum,2,,Native,TS,,,
V-121,UNIDENTIFIED SP,Unidentified species,,1,-,-,,,
W-128,ACENIG,Acer nigrum,1,,Native,TS,,,
W-132,ACENIG,Acer nigrum,1,,Native,TS,,,
W-136,LONTAT,Lonicera tatarica,5,,Alien,S,,,
W-137,LONTAT,Lonicera tatarica,32,,Alien,S,,,
W-146,NONE,NONE,-,-,-,-,,,
W-71,LONMAA,Lonicera maackii,1,,Alien,S,,,
W-72,NONE,NONE,-,-,-,-,,,
W-87,NONE,NONE,-,-,-,-,,,
W-91,LONMAA,Lonicera maackii,,7,Alien,S,,,
W-91,ULMAME,Ulmus americana,,1,Native,TS,,,
W-91,VIBREC,Viburnum recognitum,,13,Alien,S,,,
W-95,NONE,NONE,-,-,-,-,,,
X-110,NONE,NONE,-,-,-,-,,,
X-118,ACENIG,Acer nigrum,,1,Native,TS,,,
Y-121,NONE,NONE,-,-,-,-,,,
X-121,ACENIG,Acer nigrum,1,1,Native,TS,,,
X-125,ACENIG,Acer nigrum,1,1,Native,TS,,,
X-138,NONE,NONE,-,-,-,-,,,
X-139,NONE,NONE,-,-,-,-,,,
Y-141,RHACAT,Rhamnus cathartica,5,,Alien,UT,,,
X-143,PRUNUS SP,Prunus species,8,,-,-,,,
X-76,RHURAD,Rhus radicans,1,1,Native,S,,,
X-76,VIBPRU,Viburnum prunifolium,2,,Native,S,,,
X-76,VIBURNUM SP,Viburnum species,1,,-,S,,,
X-78,RHACAT,Rhamnus cathartica,21,,Alien,UT,,,
X-87,CORRAC,Cornus racemosa,1,,Native,S,,,
X-87,RHACAT,Rhamnus cathartica,,8,Alien,UT,,,
X-93,LONMAA,Lonicera maackii,1,1,Alien,S,,,
X-93,OSTVIR,Ostrya virginiana,2,,Native,UT,,,
X-93,UNIDENTIFIED SP,Unidentified species,,7,-,-,,,
XX-104,RUBALL,Rubus allegheniensis,1,,Native,S,,,
XX-121,ACENEG,Acer negundo,1,,Native,TS,,,
XX-121,LONMAA,Lonicera maackii,5,,Alien,S,,,
XX-121,RHACAT,Rhamnus cathartica,6,1,Alien,UT,,,
XX-125,FRAAMA,Fraxinus americana,1,,Native,TS,,,
XX-125,LONMAA,Lonicera maackii,4,,Alien,S,,,
XX-125,RHACAT,Rhamnus cathartica,3,,Alien,UT,,,
XX-125,ROSMUL,Rosa multiflora,8,,Alien,S,,,
XX-125,UNIDENTIFIED SP,Unidentified species,,1,-,-,,,
XX-129,LONMAA,Lonicera maackii,15,1,Alien,S,,,
XX-129,VITRIP,Vitis riparia,1,,Native,S,,,
XX-134,LONMAA,Lonicera maackii,1,,Alien,S,,,
XX-134,RHACAT,Rhamnus cathartica,4,,Alien,UT,,,
XX-142,LONMAA,Lonicera maackii,1,,Alien,S,,,
XX-147,PRUVIR,Prunus virginiana,3,,Native,S,,,
XX-147,QUEMAC,Quercus macrocarpa,1,,Native,TS,,,
Y-105,ACENIG,Acer nigrum,7,5,Native,TS,,,
Y-110,ACENIG,Acer nigrum,1,,Native,TS,,,
Y-110,ULMAME,Ulmus americana,1,2,Native,TS,,,
Y-112,ACENIG,Acer nigrum,3,,Native,TS,,,
Y-128,NONE,NONE,-,-,-,-,,,
Y-130,NONE,NONE,-,-,-,-,,,
Y-135,NONE,NONE,-,-,-,-,,,
Y-147,LONMAA,Lonicera maackii,4,3,Alien,S,,,
Y-147,RHACAT,Rhamnus cathartica,1,1,Alien,UT,,,
Y-80,RHACAT,Rhamnus cathartica,9,,Alien,UT,,,
Y-80,VIBURNUM SP,Viburnum species,8,,-,S,,,
Y-84,OSTVIR,Ostrya virginiana ,2,,Native,UT,,,
Y-90,PRUVIR,Prunus virginiana,,2,Native,S,,,
Y-90,VIBOPU,Viburnum opulus,,2,Alien,S,,,
Y-90,VIBREC,Viburnum recognitum,,11,Alien,S,,,
Y-94,NONE,NONE,-,-,-,-,,,
Y-96,LONMAA,Lonicera maackii,9,,Alien,S,,,
Y-96,UNIDENTIFIED SP,Unidentified species,,1,-,-,,,
YY-119,LONMAA,Lonicera maackii,12,,Alien,S,,,
YY-119,PRUAME,Prunus americana,1,,Native,UT,,,
YY-119,RHACAT,Rhamnus cathartica,2,2,Alien,UT,,,
YY-122,JUNVIC,Juniperus virginiana ,1,,Native,T,,,
YY-122,LONMAA,Lonicera maackii,,1,Alien,S,,,
YY-122,RHACAT,Rhamnus cathartica,8,,Alien,UT,,,
YY-123,LONMAA,Lonicera maackii,10,2,Alien,S,,,
YY-123,RHACAT,Rhamnus cathartica,2,1,Alien,UT,,,
YY-132,LONMAA,Lonicera maackii,5,,Alien,S,,,
YY-137,NONE,NONE,-,-,-,-,,,
YY-140,FRAAMA,Fraxinus americana,1,,Native,TS,,,
YY-140,LONMAA,Lonicera maackii,3,,Alien,S,,,
YY-140,ROSMUL,Rosa multiflora,5,,Alien,S,,,
YY-146,NONE,NONE,-,-,-,-,,,
Z-108,CARCOR,Carya cordiformis,3,,Native,TS,,,
Z-108,LIGUSTRUM SP,Ligustrum species,1,,Alien,S,,,
Z-108,PRUVIR,Prunus virginiana,2,,Native,S,,,
Y-115,NONE,NONE,-,-,-,-,,,
Z-118,ACENIG,Acer nigrum,,2,Native,TS,,,
Z-118,ULMUS SP,Ulmus species,,1,-,TS,,,
Z-122,NONE,NONE,-,-,-,-,,,
Z-124,NONE,NONE,-,-,-,-,,,
Z-128,ACENIG,Acer nigrum,2,,Native,TS,,,
Z-132,NONE,NONE,-,-,-,-,,,
AA-141,NONE,NONE,-,-,-,-,,,
Z-143,NONE,NONE,-,-,-,-,,,
Z-82,NONE,NONE,-,-,-,-,,,
Z-92,RHACAT,Rhamnus cathartica,,1,Alien,UT,,,
ZZ-130,CARCOR,Carya cordiformis,1,,Native,TS,,,
ZZ-130,LONMAA,Lonicera maackii,5,1,Alien,S,,,
ZZ-132,PRUSER,Prunus serotina,1,,Native,TS,,,
ZZ-132,VIBOPU,Viburnum opulus,3,1,Alien,S,,,
ZZ-132,VIBREC,Viburnum recognitum,1,,Alien,S,,,
ZZ-134,LONMAA,Lonicera maackii,2,,Alien,S,,,
ZZ-134,RHACAT,Rhamnus cathartica,3,,Alien,UT,,,
ZZ-134,ROSMUL,Rosa multiflora,3,,Alien,S,,,
ZZ-134,TILAME,Tilia americana,1,,Native,TS,,,
ZZ-142,PRUVIR,Prunus virginiana,4,,Native,S,,,
ZZ-142,UNIDENTIFIED SP,Unidentified species,,1,-,UT,,,
