Plot ID Number,6-Letter Code,Species Name,Alive # of Stems,Dead # of Stems,Native / Alien,"Type
Shrub (S)
Understory Tree (UT)
Tree Sapling (TS)",,,
CC-86,EUOATR,Euonymus atropurpureus ,1,,Native,S,,,
CC-86,LONMAC,Lonicera maackii   ,3,,Alien,S,,,
CC-96,FRAPES,Fraxinus pennsylvanica subintegerrima ,,1,Native,TS,,,
CC-96,OSTVIR,Ostrya virginiana ,1,1,Native,UT,,,
CC-96,RHACAT,Rhamnus cathartica ,,1,Alien,UT,,,
CC-97,TILAME,Tilia americana,,4,Native,TS,,,
CC-99,PRUVIR,Prunus virginiana ,,11,Native,S,,,
D-113,NONE,NONE,-,-,-,-,,,
D-117,NONE,NONE,-,-,-,-,,,
D-123,ULMAME,Ulmus americana,1,,Native,TS,,,
C-127,OSTVIR,Ostrya virginiana,,1,Native,UT,,,
D-134,PRUVIR,Prunus virginiana,2,,Native,S,,,
DD-100,NONE,NONE,-,-,-,-,,,
EE-111,CELSCA,Celastrus scandens ,5,,Native,S,,,
EE-111,LONMAA,Lonicera maackii ,2,1,Alien,S,,,
EE-111,PRUSER,Prunus serotina ,,1,Native,TS,,,
CC-110,OSTVIR,Ostrya virginiana ,1,,Native,UT,,,
DD-112,ACENIG,Acer nigrum,3,,Native,TS,,,
DD-112,LONMAA,Lonicera maackii ,1,,Alien,S,,,
DD-112,PRUVIR,Prunus virginiana ,1,1,Native,S,,,
DD-114,ACENIG,Acer nigrum,6,,Native,TS,,,
DD-114,PRUSER,Prunus serotina,,1,Native,TS,,,
DD-115,NONE,NONE,-,-,-,-,,,
DD-130,CRATAEGUS SP,Crataegus species,1,,-,UT,,,
DD-130,RHACAT,Rhamnus cathartica,1,,Alien,UT,,,
DD-130,ROSMUL,Rosa multiflora,7,,Alien,S,,,
DD-130,SAMCAN,Sambucus canadensis,4,,Native,S,,,
DD-130,VIBREC,Viburnum recognitum,,3,Alien,S,,,
DD-130,VITRIP,Vitis riparia,3,,Native,S,,,
DD-145,LONMAA,Lonicera maackii,9,7,Alien,S,,,
DD-148,FRAPES,Fraxinus pennsylvanica subintegerrima,1,,Native,TS,,,
DD-148,LONMAA,Lonicera maackii,26,1,Alien,S,,,
DD-148,QUEMAC,Quercus macrocarpa,2,,Native,TS,,,
DD-148,RHURAD,Rhus radicans,2,,Native,S,,,
DD-148,UNIDENTIFIED SP,Unidentified species,,1,-,-,,,
DD-78,ACENIG,Acer nigrum,3,,Native,TS,,,
DD-78,OSTVIR,Ostrya virginiana ,1,,Native,UT,,,
DD-83,ACENIG,Acer nigrum,3,1,Native,TS,,,
DD-83,LONMAA,Lonicera maackii   ,2,,Alien,S,,,
DD-86,NONE,NONE,-,-,-,-,,,
DD-90,CRATAEGUS SP,Crataegus species,1,,-,UT,,,
DD-90,TILAME,Tilia americana,1,,Native,TS,,,
E-109,EUOATR,Euonymus atropurpureus,2,,Native,S,,,
E-109,FRAAMA,Fraxinus americana,1,,Native,TS,,,
E-109,LONMAA,Lonicera maackii,3,,Alien,S,,,
E-109,PRUVIR,Prunus virginiana,13,3,Native,S,,,
E-109,RHACAT,Rhamnus cathartica,1,,Alien,UT,,,
E-109,ROSMUL,Rosa multiflora,,6,Alien,S,,,
E-109,STATRI,Staphylea trifolia,3,,Native,S,,,
E-110,LONMAA,Lonicera maackii,11,,Alien,S,,,
E-110,RIBMIS,Ribes missouriense,1,,Native,S,,,
E-110,ROSMUL,Rosa multiflora,1,,Alien,S,,,
E-111,LONTAT,Lonicera tatarica,5,,Alien,S,,,
E-111,RHACAT,Rhamnus cathartica,2,,Alien,UT,,,
E-111,ROSMUL,Rosa multiflora,5,,Alien,S,,,
D-125,NONE,NONE,-,-,-,-,,,
EE-108,FRAPES,Fraxinus pennsylvanica subintegerrima ,1,2,Native,TS,,,
EE-120,ACENIG,Acer nigrum,2,,Native,TS,,,
EE-120,FRAAMA,Fraxinus americana,1,,Native,TS,,,
EE-120,PRUSER,Prunus serotina,1,,Native,TS,,,
EE-126,LONMAA,Lonicera maackii,10,,Alien,S,,,
EE-126,QUERCUS SP,Quercus species,2,,-,TS,,,
EE-126,RHAMNUS SP,Rhamnus species,2,,-,UT,,,
EE-126,ULMAME,Ulmus americana,1,,Native,TS,,,
EE-128,LONMAA,Lonicera maackii,7,12,Alien,S,,,
EE-128,ROSMUL,Rosa multiflora,,13,Alien,S,,,
EE-132,NONE,NONE,-,-,-,-,,,
EE-134,CRATAEGUS SP,Crataegus species,2,,-,UT,,,
EE-134,LONMAA,Lonicera maackii,13,4,Alien,S,,,
EE-134,RHACAT,Rhamnus cathartica,2,,Alien,UT,,,
EE-140,ULMAME,Ulmus americana,2,1,Native,TS,,,
EE-77,EOUATR,Euonymus atropurpureus  ,3,,Native,S,,,
EE-78,LONMAA,Lonicera maackii ,3,,Alien,S,,,
EE-78,RUBOCC,Rubus occidentalis ,1,,Native,S,,,
EE-88,ACENIG,Acer nigrum,1,,Native,TS,,,
F-107 ,NONE,NONE,-,-,-,-,,,
F-108,LONMAA,Lonicera maackii,,3,Alien,S,,,
F-108,RUBOCC,Rubus occidentalis,1,,Native,S,,,
F-113,FRAAMA,Fraxinus americana,1,,Native,TS,,,
F-113,LONMAA,Lonicera maackii,5,1,Alien,S,,,
F-114,NONE,NONE,-,-,-,-,,,
F-118,TILAME,Tilia americana,2,,Native,TS,,,
F-122,RUBOCC,Rubus occidentalis,18,,Native,S,,,
F-129,FRAXINUS SP,Fraxinus species,,1,-,TS,,,
F-134,ACENIG,Acer nigrum,1,,Native,TS,,,
FF-112,PRUNUS SP,Prunus species,1,,-,-,,,
FF-112,PRUSER,Prunus serotina ,2,3,Native,TS,,,
FF-112,VIBURNUM SP ,Viburnum species,3,,-,S,,,
FF-114,CRATAEGUS SP,Crataegus species,,1,-,UT,,,
FF-114,PRUSER,Prunus serotina,1,,Native,TS,,,
FF-114,PRUVIR,Prunus virginiana,5,,Native,S,,,
FF-114,ROSMUL,Rosa multiflora,13,,Alien,S,,,
FF-114,ULMAME,Ulmus americana,1,,Native,TS,,,
FF-117,LONMAA,Lonicera maackii,7,1,Alien,S,,,
FF-123,ACENIG,Acer nigrum,2,,Native,TS,,,
FF-123,LONMAA,Lonicera maackii,1,,Alien,S,,,
FF-123,VIBREC,Viburnum recognitum,1,,Alien,S,,,
FF-126,LONMAA,Lonicera maackii,1,,Alien,S,,,
FF-126,RHACAT,Rhamnus cathartica,3,3,Alien,UT,,,
FF-126,VIBURNUM SP,Viburnum species,2,,-,S,,,
FF-127,LONMAA,Lonicera maackii,16,4,Alien,S,,,
FF-127,RHACAT,Rhamnus cathartica,6,2,Alien,UT,,,
FF-127,VIBURNUM SP,Viburnum species,4,2,-,S,,,
FF-132,NONE,NONE,-,-,-,-,,,
FF-138,FRAPES,Fraxinus pennsylvanica subintegerrima,1,,Native,TS,,,
FF-138,LONMAA,Lonicera maackii,16,3,Alien,S,,,
FF-146,LONMAA,Lonicera maackii,2,,Alien,S,,,
FF-146,RHACAT,Rhamnus cathartica,4,4,Alien,UT,,,
FF-91,ACENIG,Acer nigrum,1,,Native,TS,,,
FF-91,LIRTUL,Liriodendron tulipifera ,,2,Native,TS,,,
FF-91,QUEALB,Quercus alba ,1,,Native,TS,,,
FF-91,RHACAT,Rhamnus cathartica ,,1,Alien,UT,,,
FF-91,TILAME,Tilia americana ,2,,Native,TS,,,
FF-94,NONE,NONE,-,-,-,-,,,
I-109,NONE,NONE,-,-,-,-,,,
G-109,RHACAT,Rhamnus cathartica,-,5,Alien,UT,,,
F-112,LONMAA,Lonicera maackii,12,,Alien,S,,,
F-112,ULMAME,Ulmus americana,1,,Native,TS,,,
F-119,NONE,NONE,-,-,-,-,,,
G-126,NONE,NONE,-,-,-,-,,,
G-132,FRAPES,Fraxinus pennsylvanica subintegerrima,1,2,Native,TS,,,
G-137,FRAAMA,Fraxinus americana,1,,Native,TS,,,
G-137,LONMAA,Lonicera maackii,3,,Alien,S,,,
G-137,RHACAT,Rhamnus cathartica,40,3,Alien,UT,,,
G-137,ULMAME,Ulmus americana,,1,Native,TS,,,
GG-103,NONE,NONE,-,-,-,-,,,
HH-112,LONMAA,Lonicera maackii,4,1,Alien,S,,,
HH-112,RHACAT,Rhamnus cathartica,3,,Alien,UT,,,
GG-121,ACENIG,Acer nigrum,2,,Native,TS,,,
GG-122,ACENIG,Acer nigrum,1,,Native,TS,,,
GG-122,OSTVIR,Ostrya virginiana,1,,Native,UT,,,
GG-127,LONMAA,Lonicera maackii,26,,Alien,S,,,
GG-127,RHACAT,Rhamnus cathartica,42,,Alien,UT,,,
GG-135,LONMAA,Lonicera maackii,1,3,Alien,S,,,
GG-135,QUEMAC,Quercus macrocarpa,1,,Native,TS,,,
GG-135,VIBREC,Viburnum recognitum,3,,Alien,S,,,
GG-140,LONMAA,Lonicera maackii,15,3,Alien,S,,,
GG-146,LONMAA,Lonicera maackii,12,3,Alien,S,,,
